"ts"	"event_type"	"SID"	"ECID"	"session"	"game_type"	"game_number"	"episode_number"	"level"	"score"	"lines_cleared"	"completed"	"game_duration"	"avg_ep_duration"	"zoid_sequence"	"criterion"	"crit_game"	"study"
"11"	1506.34067549	"GAME_SUMM"	"102"	"NIL"	"2013_6_7_12-14-29"	"pop_assessment"	3	162	4	8389	49	NA	417.09880167	2.57468396092593	"[\T\,\L\,\I\,\O\,\S\,\L\,\O\,\S\,\L\,\I\,\O\,\I\,\J\,\I\,\O\,\J\,\O\,\I\,\O\,\T\,\S\,\T\,\S\,\I\,\T\,\Z\,\I\,\L\,\J\,\L\,\S\,\Z\,\I\,\J\,\I\,\Z\,\T\,\Z\,\T\,\O\,\L\,\J\,\S\,\T\,\Z\,\J\,\O\,\I\,\L\,\L\,\J\,\Z\,\I\,\J\,\Z\,\S\,\Z\,\S\,\J\,\T\,\Z\,\J\,\L\,\S\,\T\,\O\,\T\,\S\,\Z\,\O\,\O\,\Z\,\T\,\Z\,\S\,\Z\,\L\,\T\,\Z\,\S\,\O\,\I\,\T\,\T\,\L\,\O\,\Z\,\O\,\T\,\L\,\I\,\S\,\O\,\L\,\O\,\Z\,\J\,\O\,\S\,\I\,\Z\,\Z\,\L\,\Z\,\I\,\Z\,\I\,\T\,\J\,\I\,\O\,\S\,\O\,\I\,\J\,\Z\,\S\,\J\,\I\,\L\,\I\,\O\,\Z\,\I\,\L\,\Z\,\S\,\O\,\L\,\S\,\J\,\I\,\S\,\I\,\J\,\O\,\Z\,\T\,\S\,\Z\,\L\,\J\,\S\,\Z\,\I\,\L\,\I\,\O\,\I\,\Z\,\L\,\S\,\Z\,\I\,\S\,\L\,\O\,\Z\,\S\,\Z\,\S\,\L\,\I\]"	17814	FALSE	"TS1"
"12"	1992.45520922	"GAME_SUMM"	"102"	"NIL"	"2013_6_7_12-14-29"	"pop_assessment"	4	162	5	12105	51	NA	479.64486238	2.9607707554321	"[\T\,\I\,\Z\,\O\,\S\,\J\,\L\,\I\,\J\,\I\,\L\,\J\,\T\,\O\,\T\,\I\,\L\,\T\,\J\,\S\,\T\,\Z\,\J\,\J\,\O\,\Z\,\J\,\T\,\I\,\T\,\Z\,\T\,\O\,\L\,\O\,\J\,\I\,\S\,\T\,\J\,\L\,\I\,\J\,\I\,\J\,\T\,\J\,\I\,\T\,\Z\,\J\,\Z\,\I\,\Z\,\I\,\T\,\O\,\T\,\J\,\O\,\J\,\O\,\S\,\O\,\J\,\L\,\T\,\T\,\Z\,\L\,\J\,\Z\,\T\,\O\,\L\,\I\,\L\,\O\,\I\,\L\,\T\,\L\,\T\,\I\,\L\,\O\,\Z\,\I\,\S\,\J\,\I\,\L\,\Z\,\I\,\J\,\O\,\J\,\Z\,\J\,\S\,\L\,\L\,\Z\,\T\,\L\,\T\,\Z\,\S\,\L\,\I\,\Z\,\I\,\S\,\J\,\I\,\L\,\L\,\T\,\I\,\S\,\S\,\J\,\L\,\T\,\O\,\J\,\S\,\Z\,\O\,\I\,\J\,\T\,\S\,\Z\,\J\,\I\,\S\,\Z\,\S\,\J\,\T\,\Z\,\J\,\T\,\I\,\Z\,\S\,\Z\,\J\,\T\,\I\,\O\,\T\,\O\,\I\,\S\,\O\,\Z\,\T\,\L\,\J\,\Z\,\I\]"	17814	TRUE	"TS1"
"13"	2141.31681355	"GAME_SUMM"	"102"	"NIL"	"2013_6_7_12-14-29"	"pop_assessment"	5	48	0	673	5	NA	141.03387826	2.93820579708333	"[\L\,\Z\,\I\,\O\,\I\,\S\,\I\,\J\,\I\,\T\,\Z\,\L\,\S\,\T\,\J\,\J\,\I\,\J\,\O\,\T\,\J\,\O\,\J\,\T\,\L\,\O\,\L\,\O\,\J\,\L\,\J\,\T\,\O\,\I\,\T\,\Z\,\O\,\J\,\J\,\L\,\S\,\Z\,\Z\,\S\,\J\,\Z\,\O\,\Z\,\J\]"	17814	FALSE	"TS1"
"14"	2761.08961736	"GAME_SUMM"	"102"	"NIL"	"2013_6_7_12-14-29"	"pop_assessment"	6	218	7	25035	74	NA	615.3045921	2.82249812889908	"[\I\,\L\,\S\,\J\,\L\,\I\,\I\,\J\,\O\,\Z\,\S\,\J\,\Z\,\I\,\T\,\Z\,\O\,\S\,\I\,\J\,\L\,\I\,\J\,\T\,\S\,\O\,\I\,\S\,\Z\,\J\,\L\,\J\,\Z\,\S\,\L\,\I\,\Z\,\L\,\S\,\S\,\S\,\T\,\T\,\Z\,\T\,\I\,\Z\,\J\,\Z\,\L\,\S\,\O\,\S\,\Z\,\S\,\J\,\L\,\L\,\S\,\I\,\S\,\T\,\O\,\I\,\T\,\S\,\T\,\S\,\I\,\J\,\I\,\L\,\T\,\S\,\L\,\T\,\L\,\Z\,\Z\,\J\,\S\,\Z\,\O\,\T\,\I\,\O\,\T\,\I\,\L\,\S\,\O\,\T\,\Z\,\L\,\S\,\T\,\O\,\J\,\I\,\O\,\S\,\Z\,\S\,\T\,\O\,\S\,\J\,\O\,\J\,\T\,\O\,\L\,\T\,\L\,\I\,\S\,\T\,\Z\,\J\,\I\,\S\,\L\,\O\,\L\,\T\,\O\,\S\,\J\,\O\,\T\,\S\,\I\,\O\,\L\,\S\,\I\,\S\,\L\,\Z\,\J\,\Z\,\L\,\S\,\I\,\T\,\O\,\L\,\Z\,\J\,\T\,\L\,\J\,\S\,\I\,\T\,\J\,\T\,\Z\,\L\,\J\,\L\,\Z\,\J\,\I\,\Z\,\O\,\T\,\S\,\O\,\S\,\J\,\I\,\L\,\O\,\T\,\J\,\T\,\J\,\S\,\O\,\I\,\O\,\T\,\L\,\Z\,\O\,\I\,\S\,\Z\,\T\,\Z\,\I\,\O\,\Z\,\I\,\L\,\J\,\S\,\O\,\J\,\S\,\L\,\J\,\I\,\S\,\L\,\S\,\Z\,\Z\,\L\,\T\,\O\,\J\,\I\,\T\,\J\,\T\,\O\,\S\]"	17814	TRUE	"TS1"
"15"	3081.12376463	"GAME_SUMM"	"102"	"NIL"	"2013_6_7_12-14-29"	"pop_assessment"	7	116	3	6863	31	NA	309.92502617	2.67176746698276	"[\Z\,\S\,\T\,\L\,\J\,\I\,\J\,\I\,\J\,\T\,\Z\,\I\,\J\,\O\,\Z\,\L\,\Z\,\I\,\Z\,\I\,\Z\,\T\,\L\,\S\,\Z\,\O\,\S\,\O\,\Z\,\I\,\O\,\J\,\Z\,\L\,\T\,\L\,\I\,\L\,\I\,\Z\,\T\,\I\,\J\,\L\,\J\,\S\,\J\,\S\,\T\,\Z\,\J\,\T\,\Z\,\Z\,\I\,\L\,\T\,\Z\,\Z\,\O\,\T\,\J\,\L\,\I\,\T\,\Z\,\O\,\T\,\O\,\S\,\Z\,\I\,\I\,\L\,\Z\,\O\,\L\,\Z\,\S\,\Z\,\J\,\S\,\I\,\I\,\O\,\S\,\T\,\J\,\L\,\J\,\S\,\I\,\O\,\L\,\I\,\Z\,\I\,\Z\,\J\,\S\,\O\,\S\,\S\,\T\,\O\,\L\,\L\,\O\,\T\,\J\,\O\,\L\,\S\,\S\,\T\,\O\,\I\]"	17814	FALSE	"TS1"
"16"	3777.1328394	"GAME_SUMM"	"102"	"NIL"	"2013_6_7_12-14-29"	"pop_assessment"	8	241	8	23571	84	NA	673.24246654	2.79353720556017	"[\T\,\J\,\L\,\S\,\I\,\Z\,\J\,\T\,\O\,\T\,\O\,\Z\,\L\,\O\,\L\,\Z\,\O\,\Z\,\J\,\L\,\S\,\I\,\J\,\L\,\T\,\J\,\L\,\J\,\O\,\I\,\T\,\S\,\L\,\Z\,\L\,\J\,\L\,\I\,\L\,\Z\,\L\,\O\,\L\,\I\,\J\,\S\,\I\,\J\,\I\,\T\,\J\,\S\,\O\,\T\,\O\,\T\,\J\,\L\,\I\,\L\,\J\,\L\,\I\,\J\,\Z\,\I\,\J\,\Z\,\S\,\J\,\T\,\S\,\I\,\S\,\J\,\O\,\J\,\I\,\Z\,\T\,\L\,\O\,\T\,\L\,\J\,\Z\,\I\,\Z\,\T\,\J\,\O\,\T\,\Z\,\L\,\O\,\L\,\O\,\Z\,\I\,\S\,\J\,\Z\,\O\,\T\,\L\,\J\,\T\,\I\,\Z\,\O\,\J\,\I\,\L\,\I\,\O\,\O\,\Z\,\I\,\O\,\I\,\Z\,\L\,\Z\,\S\,\L\,\S\,\T\,\Z\,\I\,\T\,\I\,\S\,\I\,\T\,\O\,\L\,\T\,\O\,\T\,\I\,\T\,\S\,\L\,\J\,\I\,\J\,\T\,\I\,\S\,\J\,\L\,\I\,\Z\,\S\,\L\,\S\,\J\,\S\,\T\,\I\,\O\,\Z\,\O\,\O\,\T\,\I\,\Z\,\L\,\J\,\I\,\Z\,\I\,\L\,\T\,\Z\,\L\,\S\,\T\,\O\,\Z\,\L\,\I\,\O\,\T\,\I\,\Z\,\S\,\J\,\L\,\Z\,\O\,\L\,\T\,\T\,\J\,\I\,\T\,\L\,\J\,\O\,\S\,\I\,\O\,\J\,\S\,\J\,\T\,\Z\,\I\,\Z\,\T\,\Z\,\T\,\Z\,\I\,\T\,\O\,\S\,\J\,\T\,\J\,\O\,\T\,\S\,\T\,\J\,\L\,\J\,\T\,\O\,\I\,\L\,\L\,\O\,\S\,\T\,\Z\,\S\,\I\,\Z\,\I\,\L\]"	17814	TRUE	"TS1"
"17"	786.428821098	"GAME_SUMM"	"103"	"NIL"	"2013_6_10_14-11-59"	"pop_assessment"	1	336	12	76614	127	NA	694.4462920903	2.06680444074494	"[\O\,\S\,\O\,\J\,\S\,\O\,\J\,\T\,\L\,\T\,\L\,\O\,\Z\,\S\,\L\,\I\,\S\,\O\,\L\,\I\,\Z\,\L\,\J\,\S\,\J\,\I\,\J\,\O\,\L\,\O\,\J\,\S\,\Z\,\T\,\O\,\J\,\O\,\L\,\S\,\J\,\S\,\Z\,\L\,\O\,\J\,\O\,\Z\,\T\,\I\,\T\,\L\,\I\,\Z\,\L\,\T\,\J\,\Z\,\L\,\S\,\T\,\O\,\I\,\T\,\I\,\I\,\L\,\S\,\I\,\O\,\T\,\L\,\I\,\T\,\O\,\J\,\Z\,\T\,\S\,\T\,\Z\,\S\,\J\,\T\,\Z\,\I\,\L\,\Z\,\S\,\I\,\I\,\O\,\S\,\Z\,\T\,\Z\,\O\,\I\,\T\,\I\,\O\,\L\,\Z\,\J\,\Z\,\S\,\T\,\T\,\I\,\O\,\J\,\O\,\S\,\T\,\L\,\O\,\S\,\J\,\L\,\I\,\S\,\O\,\O\,\L\,\Z\,\L\,\L\,\T\,\J\,\J\,\S\,\L\,\S\,\S\,\O\,\I\,\T\,\J\,\T\,\S\,\L\,\S\,\S\,\L\,\Z\,\T\,\S\,\Z\,\T\,\Z\,\S\,\T\,\I\,\Z\,\Z\,\O\,\I\,\S\,\I\,\Z\,\O\,\S\,\L\,\S\,\S\,\O\,\J\,\O\,\Z\,\I\,\O\,\J\,\O\,\J\,\T\,\L\,\J\,\O\,\I\,\S\,\T\,\I\,\J\,\L\,\L\,\Z\,\L\,\S\,\L\,\T\,\Z\,\J\,\Z\,\O\,\I\,\Z\,\O\,\I\,\Z\,\J\,\I\,\O\,\Z\,\L\,\T\,\I\,\J\,\Z\,\I\,\Z\,\L\,\S\,\Z\,\O\,\S\,\O\,\I\,\O\,\I\,\Z\,\O\,\L\,\O\,\T\,\I\,\L\,\Z\,\L\,\I\,\L\,\T\,\L\,\S\,\L\,\S\,\I\,\S\,\J\,\Z\,\S\,\I\,\Z\,\J\,\Z\,\O\,\J\,\L\,\T\,\S\,\Z\,\J\,\I\,\T\,\Z\,\Z\,\L\,\O\,\T\,\I\,\J\,\Z\,\J\,\I\,\Z\,\O\,\J\,\I\,\L\,\T\,\S\,\L\,\Z\,\S\,\T\,\Z\,\S\,\T\,\S\,\T\,\J\,\O\,\S\,\I\,\S\,\I\,\J\,\Z\,\L\,\O\,\Z\,\T\,\I\,\S\,\J\,\I\,\J\,\L\,\T\,\I\,\L\,\I\,\Z\,\I\,\L\,\T\,\Z\,\J\,\Z\,\J\,\O\,\I\,\J\,\I\,\S\,\L\,\I\,\T\,\I\,\L\,\O\,\S\,\T\,\I\,\I\,\Z\,\I\,\T\,\T\,\L\,\J\,\Z\,\J\,\T\,\S\,\J\,\S\,\T\,\J\]"	42826	TRUE	"TS1"
"18"	3690.90568979	"GAME_SUMM"	"103"	"NIL"	"2013_6_10_14-11-59"	"pop_assessment"	10	182	6	25147	67	NA	349.614289	1.92095763186813	"[\L\,\T\,\L\,\Z\,\J\,\L\,\S\,\S\,\I\,\Z\,\I\,\I\,\T\,\J\,\Z\,\J\,\L\,\S\,\J\,\T\,\J\,\L\,\Z\,\S\,\I\,\O\,\I\,\O\,\L\,\T\,\Z\,\I\,\I\,\L\,\J\,\T\,\O\,\I\,\I\,\O\,\T\,\S\,\J\,\I\,\T\,\I\,\L\,\S\,\J\,\I\,\Z\,\J\,\Z\,\T\,\T\,\S\,\T\,\Z\,\L\,\T\,\S\,\J\,\O\,\T\,\Z\,\O\,\J\,\S\,\L\,\T\,\T\,\L\,\L\,\S\,\J\,\O\,\S\,\L\,\O\,\Z\,\S\,\Z\,\L\,\J\,\I\,\L\,\Z\,\J\,\O\,\L\,\I\,\O\,\J\,\L\,\T\,\Z\,\J\,\O\,\Z\,\L\,\T\,\O\,\S\,\J\,\J\,\L\,\J\,\T\,\J\,\T\,\I\,\O\,\S\,\T\,\L\,\T\,\S\,\T\,\J\,\S\,\J\,\O\,\I\,\J\,\Z\,\T\,\L\,\I\,\L\,\I\,\S\,\T\,\S\,\Z\,\J\,\T\,\Z\,\S\,\T\,\O\,\L\,\Z\,\I\,\L\,\Z\,\I\,\S\,\J\,\L\,\I\,\L\,\L\,\J\,\S\,\I\,\Z\,\O\,\S\,\O\,\L\,\Z\,\T\,\S\,\I\,\T\,\J\,\O\,\Z\,\S\,\L\,\I\,\S\,\O\,\I\,\J\,\Z\,\I\,\O\,\O\,\I\,\Z\,\L\,\S\]"	42826	TRUE	"TS1"
"19"	1058.66810043	"GAME_SUMM"	"103"	"NIL"	"2013_6_10_14-11-59"	"pop_assessment"	2	136	4	7669	41	NA	257.364417446	1.89238542239706	"[\I\,\L\,\I\,\S\,\Z\,\T\,\O\,\T\,\S\,\L\,\I\,\T\,\I\,\Z\,\J\,\Z\,\I\,\T\,\O\,\J\,\L\,\Z\,\L\,\Z\,\O\,\Z\,\T\,\Z\,\J\,\Z\,\I\,\O\,\T\,\I\,\Z\,\L\,\J\,\S\,\L\,\S\,\I\,\T\,\L\,\T\,\O\,\S\,\Z\,\T\,\I\,\Z\,\I\,\O\,\O\,\J\,\S\,\O\,\L\,\I\,\O\,\L\,\J\,\I\,\L\,\S\,\J\,\O\,\Z\,\O\,\S\,\J\,\I\,\J\,\S\,\J\,\Z\,\T\,\Z\,\S\,\I\,\O\,\Z\,\I\,\Z\,\I\,\S\,\Z\,\I\,\O\,\J\,\Z\,\I\,\Z\,\T\,\Z\,\J\,\I\,\Z\,\I\,\S\,\O\,\L\,\T\,\S\,\T\,\Z\,\J\,\S\,\L\,\T\,\S\,\J\,\I\,\Z\,\L\,\J\,\S\,\T\,\O\,\T\,\J\,\J\,\I\,\T\,\I\,\L\,\I\,\Z\,\J\,\O\,\J\,\Z\,\S\,\O\,\T\,\S\,\T\,\S\]"	42826	FALSE	"TS1"
"20"	1306.87464835	"GAME_SUMM"	"103"	"NIL"	"2013_6_10_14-11-59"	"pop_assessment"	3	115	3	6904	33	NA	234.23889507	2.03685995713043	"[\T\,\L\,\I\,\O\,\S\,\L\,\O\,\S\,\L\,\I\,\O\,\I\,\J\,\I\,\O\,\J\,\O\,\I\,\O\,\T\,\S\,\T\,\S\,\I\,\T\,\Z\,\I\,\L\,\J\,\L\,\S\,\Z\,\I\,\J\,\I\,\Z\,\T\,\Z\,\T\,\O\,\L\,\J\,\S\,\T\,\Z\,\J\,\O\,\I\,\L\,\L\,\J\,\Z\,\I\,\J\,\Z\,\S\,\Z\,\S\,\J\,\T\,\Z\,\J\,\L\,\S\,\T\,\O\,\T\,\S\,\Z\,\O\,\O\,\Z\,\T\,\Z\,\S\,\Z\,\L\,\T\,\Z\,\S\,\O\,\I\,\T\,\T\,\L\,\O\,\Z\,\O\,\T\,\L\,\I\,\S\,\O\,\L\,\O\,\Z\,\J\,\O\,\S\,\I\,\Z\,\Z\,\L\,\Z\,\I\,\Z\,\I\,\T\,\J\,\I\,\O\,\S\,\O\,\I\,\J\,\Z\]"	42826	FALSE	"TS1"
